target,deployment_model,n,formula_groups,prediction_pearson_r_xgboost_vs_deployment,xgboost_oof_r2,deployment_oof_r2,delta_r2_deployment_minus_xgboost,bootstrap_iterations,bootstrap_formula_groups,delta_r2_ci95_lower,delta_r2_ci95_upper,bootstrap_probability_delta_r2_gt_zero,prediction_r_ci95_lower,prediction_r_ci95_upper
Y01,RF,300,73,0.9827182767036351,0.9280080774518545,0.9281736501591626,0.0001655727073081037,10000,73,-0.0242377306859634,0.020541650810827112,0.5318,0.9711342918946688,0.9922780196639255
Y02,RF,162,66,0.9748201945714594,0.8193965316340244,0.8205919526741694,0.0011954210401450283,10000,66,-0.04735707615007959,0.06732645629330078,0.4954,0.9565494363779999,0.9862334852214591
Y03,SVR,300,73,0.9783481114602479,0.90270985711658,0.9178903984017137,0.015180541285133686,10000,73,-0.006621996646642283,0.03812213651374523,0.9271,0.9670428739374274,0.9860501148792463
Y04,XGBoost,300,73,1.0,0.7484018672557438,0.7484018672557438,0.0,10000,73,0.0,0.0,0.0,1.0,1.0
Y05,SVR,300,73,0.9789848593120127,0.9570614052639977,0.9764869897262641,0.019425584462266388,10000,73,0.006120890491384454,0.0355817102687169,0.9977,0.9686380192148432,0.9861048888190079
Y06,SVR,300,73,0.9746906073386409,0.9487462024535979,0.9691480838866078,0.020401881433009916,10000,73,0.004875662390801358,0.038922197967077805,0.9948,0.9618060100366944,0.983599879676588
Y07,SVR,300,73,0.9556470365490906,0.8649059911068957,0.8839897768734717,0.01908378576657599,10000,73,-0.02917021517680543,0.07825318856380124,0.7703,0.9378029120437581,0.9694300165384191
