model,approach,n,oof_r2,oof_rmse,oof_mae
XGBoost,Direct model,162,0.8193965316340244,1.2269049746673106,0.7820753620288989
XGBoost,Product of Y01 and Y03 predictions (physical baseline),162,0.48584507800493304,2.0701169578961505,1.411829185540953
RF,Direct model,162,0.8205919526741695,1.2228377685325944,0.8012376087432153
RF,Product of Y01 and Y03 predictions (physical baseline),162,0.45271355449804607,2.1357736803468357,1.3981139534204734
SVR,Direct model,162,0.80239203262054,1.2833647596273101,0.7585132247632034
SVR,Product of Y01 and Y03 predictions (physical baseline),162,0.512241082859562,2.016278378994174,1.3118168082123831
ANN,Direct model,162,0.720159932527217,1.5272243246582575,0.9878511320913256
ANN,Product of Y01 and Y03 predictions (physical baseline),162,0.47647934841198636,2.0888862600884126,1.4155920583037862
