model,approach,n,oof_r2,oof_rmse,oof_mae
XGBoost,Direct model,300,0.7927128627977578,1.0090457322765711,0.7340899184539922
XGBoost,Product of mass-based NHOC and density predictions,300,0.7819570152798354,1.0348936740190364,0.731070902877263
RF,Direct model,300,0.8132068308237294,0.9578669050375949,0.7036174987943851
RF,Product of mass-based NHOC and density predictions,300,0.7743762587497055,1.0527301743174564,0.7794676438919264
SVR,Direct model,300,0.8415962132182822,0.8820789392581513,0.6249355612384464
SVR,Product of mass-based NHOC and density predictions,300,0.8387605090291956,0.8899392928876452,0.6232271066180374
ANN,Direct model,300,0.5375340767458346,1.5071779846318325,1.0287079453933572
ANN,Product of mass-based NHOC and density predictions,300,0.7392814386725941,1.1316461456811435,0.7968707219839314
