model,target,property,unit,target_records,target_formula_groups,outer_fold,n_train,n_test,train_formula_groups,test_formula_groups,formula_overlap,r2,rmse,mae,best_inner_rmse,best_params,random_seed,fit_seconds,warning_count
XGBoost,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,1,240,60,60,13,0,0.8827221253109399,0.3897725560547425,0.14374806576864632,0.32975187530912237,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 0.85}",20260832,3.2504904000088573,0
XGBoost,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,2,240,60,58,15,0,0.9593651094248107,0.1675703494541844,0.11704342352123961,0.37024921060857946,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.85}",20260833,0.5062420000031125,0
XGBoost,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,3,240,60,58,15,0,0.8776046326406203,0.5006067693789633,0.3603662331148961,0.3280031709544768,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 500, ""subsample"": 0.85}",20260834,0.5801280000014231,0
XGBoost,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,4,240,60,58,15,0,0.9174956904203848,0.28037629981083523,0.1700526417077307,0.3272649547432623,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 500, ""subsample"": 0.85}",20260835,0.5236060000024736,0
XGBoost,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,5,240,60,58,15,0,0.9447475902437874,0.3346434459910245,0.21373278821854255,0.3538752459780075,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 500, ""subsample"": 0.85}",20260836,0.5683399999979883,0
RF,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,1,240,60,60,13,0,0.8855479742827104,0.38504807405433056,0.1390211943712231,0.3270404685813377,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 3}",20260842,5.9828401999984635,0
RF,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,2,240,60,58,15,0,0.9851513871143769,0.10129559751336688,0.06003380064530243,0.34870825151753904,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 3}",20260843,5.91117469999881,0
RF,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,3,240,60,58,15,0,0.8728264593013944,0.5102847732926123,0.2575457362015692,0.28612419271678385,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 1}",20260844,5.993832799998927,0
RF,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,4,240,60,58,15,0,0.9185578155667136,0.278565731613624,0.12301969552868262,0.31637154727158284,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 3}",20260845,5.861951600003522,0
RF,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,5,240,60,58,15,0,0.9391824261785765,0.35109226156126394,0.20359345954730776,0.3691971141219386,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 3}",20260846,5.834843599994201,0
SVR,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,1,240,60,60,13,0,0.8737707610362699,0.40437397345051057,0.1376108534097907,0.34628473638149054,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",20260852,0.2066352999972878,0
SVR,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,2,240,60,58,15,0,0.9443469000453514,0.19610664423412558,0.125258568676256,0.39611181597874756,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.1, ""regressor__regressor__gamma"": ""scale""}",20260853,0.1379053999989992,0
SVR,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,3,240,60,58,15,0,0.9062984069342139,0.43801372100284003,0.28680076210552247,0.2923245199498672,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",20260854,0.13613919999625068,0
SVR,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,4,240,60,58,15,0,0.8973462735909762,0.31274497641474885,0.11823370806429807,0.32370439566128756,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",20260855,0.14264179999008775,0
SVR,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,5,240,60,58,15,0,0.9321014177433612,0.37096852637959277,0.1581061414568436,0.35498754445843517,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",20260856,0.14524270000401884,0
ANN,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,1,240,60,60,13,0,0.8257881348230629,0.4750530150764632,0.18498694504664429,0.370075789556268,"{""regressor__regressor__activation"": ""relu"", ""regressor__regressor__alpha"": 0.01, ""regressor__regressor__hidden_layer_sizes"": [32, 16]}",20260862,14.20053000000189,0
ANN,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,2,240,60,58,15,0,0.9537240649009705,0.17882376307492773,0.11037816677444497,0.46860999753649896,"{""regressor__regressor__activation"": ""tanh"", ""regressor__regressor__alpha"": 0.01, ""regressor__regressor__hidden_layer_sizes"": [32, 16]}",20260863,19.263263200002257,0
ANN,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,3,240,60,58,15,0,0.8471878185026507,0.5593623300819325,0.3702967014458539,0.3305236100365827,"{""regressor__regressor__activation"": ""relu"", ""regressor__regressor__alpha"": 0.01, ""regressor__regressor__hidden_layer_sizes"": [32, 16]}",20260864,17.739938200000324,0
ANN,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,4,240,60,58,15,0,0.8527625535350765,0.37455200070160455,0.17457041736458917,0.38044813129925337,"{""regressor__regressor__activation"": ""relu"", ""regressor__regressor__alpha"": 0.01, ""regressor__regressor__hidden_layer_sizes"": [32, 16]}",20260865,16.601477400006843,0
ANN,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,5,240,60,58,15,0,0.8717515421297011,0.5098386876720871,0.23892456665650433,0.3865196545645519,"{""regressor__regressor__activation"": ""relu"", ""regressor__regressor__alpha"": 0.01, ""regressor__regressor__hidden_layer_sizes"": [32, 16]}",20260866,19.733199299997068,0
XGBoost,Y02,Volumetric net heat of combustion,MJ L−1,162,66,1,134,28,54,12,0,0.8140770274681369,1.2500523154261374,0.8808237566266739,1.3245855385896657,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 0.85}",20260932,0.5856929000001401,0
XGBoost,Y02,Volumetric net heat of combustion,MJ L−1,162,66,2,131,31,52,14,0,0.8588378481246457,0.8949395007902938,0.6439952284289948,1.4360563205402526,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 500, ""subsample"": 0.85}",20260933,0.47393670000019483,0
XGBoost,Y02,Volumetric net heat of combustion,MJ L−1,162,66,3,135,27,53,13,0,0.7619702485731497,1.5047028400242646,0.9389160523591213,1.3650359815053807,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 500, ""subsample"": 0.85}",20260934,0.5688420999940718,0
XGBoost,Y02,Volumetric net heat of combustion,MJ L−1,162,66,4,126,36,52,14,0,0.9178519825149142,0.9402253964619681,0.7238694402906625,1.3155166544470012,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 500, ""subsample"": 0.85}",20260935,0.4756915000034496,0
XGBoost,Y02,Volumetric net heat of combustion,MJ L−1,162,66,5,122,40,53,13,0,0.7022899555294213,1.4345683872565382,0.7664814529418947,1.0945219739013559,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 500, ""subsample"": 0.85}",20260936,0.5890469000005396,0
RF,Y02,Volumetric net heat of combustion,MJ L−1,162,66,1,134,28,54,12,0,0.7838953640250443,1.3477014746568836,0.9539183294645915,1.2149408960799024,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 1}",20260942,5.670056300004944,0
RF,Y02,Volumetric net heat of combustion,MJ L−1,162,66,2,131,31,52,14,0,0.9141990446022463,0.6977190875920375,0.4952803033794102,1.3924631356135244,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",20260943,5.830063199988217,0
RF,Y02,Volumetric net heat of combustion,MJ L−1,162,66,3,135,27,53,13,0,0.8675155987824656,1.1225804968819464,0.8369825044091596,1.2705404609750328,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1}",20260944,5.599290499987546,0
RF,Y02,Volumetric net heat of combustion,MJ L−1,162,66,4,126,36,52,14,0,0.8654811512471436,1.2031644886257316,0.854348644246174,1.2790527975293546,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 3}",20260945,5.600058300013188,0
RF,Y02,Volumetric net heat of combustion,MJ L−1,162,66,5,122,40,53,13,0,0.6739437014887928,1.5013114938353638,0.8595502793680255,1.1477785284565816,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 3}",20260946,5.586411900003441,0
SVR,Y02,Volumetric net heat of combustion,MJ L−1,162,66,1,134,28,54,12,0,0.7851297966507433,1.343846792774756,0.9167953973326316,1.1467675166326534,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",20260952,0.19283960000029765,0
SVR,Y02,Volumetric net heat of combustion,MJ L−1,162,66,2,131,31,52,14,0,0.8882443282364433,0.7962864562509703,0.491267205911421,1.342029841777845,"{""regressor__regressor__C"": 1.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",20260953,0.1253221999941161,0
SVR,Y02,Volumetric net heat of combustion,MJ L−1,162,66,3,135,27,53,13,0,0.8232425527054155,1.2966536282083403,0.9043591747060906,1.408147789152747,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.1, ""regressor__regressor__gamma"": 0.1}",20260954,0.12792970000009518,0
SVR,Y02,Volumetric net heat of combustion,MJ L−1,162,66,4,126,36,52,14,0,0.8717298017380231,1.1748875922285638,0.7791513338930092,1.2723853180487557,"{""regressor__regressor__C"": 100.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": ""scale""}",20260955,0.14065580000169575,0
SVR,Y02,Volumetric net heat of combustion,MJ L−1,162,66,5,122,40,53,13,0,0.6328957261534998,1.5930126804468425,0.7378110541464613,1.1482204441058315,"{""regressor__regressor__C"": 1.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",20260956,0.12857659999281168,0
ANN,Y02,Volumetric net heat of combustion,MJ L−1,162,66,1,134,28,54,12,0,0.8065772342539006,1.2750154760001124,0.9294534062698102,1.1858752421366094,"{""regressor__regressor__activation"": ""relu"", ""regressor__regressor__alpha"": 0.01, ""regressor__regressor__hidden_layer_sizes"": [32, 16]}",20260962,18.014238600007957,0
ANN,Y02,Volumetric net heat of combustion,MJ L−1,162,66,2,131,31,52,14,0,0.8433510872721667,0.9427536765527431,0.7185907239233096,1.5443186007076093,"{""regressor__regressor__activation"": ""tanh"", ""regressor__regressor__alpha"": 0.01, ""regressor__regressor__hidden_layer_sizes"": [32, 16]}",20260963,17.84181300000637,0
