record_id,molecule_name,cas_rn,cas_status,pubchem_cid,molecular_formula,inchikey,canonical_smiles,partition,formula_group,component_scope,elemental_scope,mixture_flag,oxygenate_flag,aromaticity_class,structure_class,density_screening_flag_ge_0_90_g_cm3,X01,X02,X03,X04,X05,X06,X07,Y01,Y02,Y03,Y04,Y05,Y06,Y07,reference_map
HC-0289,"1-methyl-2,3,4,4a,4b,5,6,7,8,8a,9,9a-dodecahydro-1H-fluorene",,not available or not unambiguously resolved,123538946,C14H24,ILYLRDOKJRGSAL-UHFFFAOYSA-N,CC1CCCC2C1CC1CCCCC12,development,C14H24,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,polycyclic alicyclic,False,192.346,1.71428571428571,0.0,3.0,5.0,0.693147180559945,3.53875236294896,42.486,35.62790988,0.83858,5.65,274.73,115.94,2.5296,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0290,"1-methyl-4-propan-2-ylcyclohexa-1,3-diene",99-86-5,reported,7462,C10H16,YHQGMYUVUMAZJR-UHFFFAOYSA-N,CC1=CC=C(C(C)C)CC1,development,C10H16,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,monocyclic alicyclic,False,136.238,1.6,0.0,1.0,3.0,1.09861228866811,3.04628040762656,42.099854666099,35.20284784876938,0.836175044497637,-47.51,175.0,50.0,0.957151306982574,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0479；Y06→REF-0479；Y07→REF-0482
HC-0291,2-Ethyladamantane,14451-87-7,reported,139758,C12H20,LIAWCKFOFPPVGF-UHFFFAOYSA-N,CCC1C2CC3CC(C2)CC1C3,development,C12H20,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,polycyclic alicyclic,False,164.292,1.66666666666667,0.0,4.0,5.0,1.6094379124341,2.49433106575964,42.326,35.45141108,0.83758,-6.33,216.16,75.94,1.4029,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0292,2-Propyladamantane,14451-88-8,reported,518952,C13H22,HMUYSRNQYPLWHB-UHFFFAOYSA-N,CCCC1C2CC3CC(C2)CC1C3,development,C13H22,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,polycyclic alicyclic,False,178.319,1.69230769230769,0.0,4.0,5.0,1.6094379124341,3.0,42.412,35.546345439999996,0.83812,4.94,239.04,91.56,1.7544,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0293,3-methylundec-1-ene,,not available or not unambiguously resolved,,C12H24,LGTWOHHRJHHWCO-UHFFFAOYSA-N,C=CC(C)CCCCCCCC,development,C12H24,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,acyclic alkene,False,168.324,2.0,0.0,0.0,1.0,0.693147180559945,8.83310986964618,43.4233977329436,33.941026236359384,0.781629904806129,-64.91,197.25,63.02175,1.17329013313797,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0294,4-methylundec-1-ene,,not available or not unambiguously resolved,,C12H24,XOPDEIDKEIFVSU-UHFFFAOYSA-N,C=CCC(C)CCCCCCC,development,C12H24,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,acyclic alkene,False,168.324,2.0,0.0,0.0,1.0,0.693147180559945,8.83310986964618,43.4233977329436,33.941026236359384,0.781629904806129,-64.91,197.25,63.02175,1.17329013313797,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0295,"spiro[bicyclo[3.1.1]heptane-3,1'-cyclopentane]",,not available or not unambiguously resolved,148964480,C11H18,BCQYQSWFXFMYEW-UHFFFAOYSA-N,C1CCC2(C1)CC1CC(C1)C2,development,C11H18,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,polycyclic alicyclic,False,150.265,1.63636363636364,0.0,4.0,3.0,2.19722457733622,2.025,42.223,35.33811762,0.83694,11.26,207.13,69.77,1.2873,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0296,"Spiro[cyclopentane-1,2'-norbornane]",,not available or not unambiguously resolved,22273197,C11H18,CHUXSKFZUPTQDX-UHFFFAOYSA-N,C1CCC2(C1)CC1CCC2C1,development,C11H18,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,polycyclic alicyclic,False,150.265,1.63636363636364,0.0,3.0,3.0,1.09861228866811,2.025,42.223,35.33811762,0.83694,11.26,207.13,69.77,1.2873,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0297,"Tetracyclo[4.3.0.02,5.07,9]nonane",,not available or not unambiguously resolved,91533404,C9H12,HZODDRZGWJTLIY-UHFFFAOYSA-N,C1CC2C1C1C3CC3C21,development,C9H12,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,polycyclic alicyclic,False,120.195,1.33333333333333,0.0,4.0,6.0,1.09861228866811,0.888888888888889,41.173,36.19641949,0.87913,-8.12,137.18,21.99,0.6878,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0298,"Tricyclo(3.1.0.02,6)hex-3-ene",659-85-8,reported,136470,C6H6,VMQPMGHYRISRHO-UHFFFAOYSA-N,C1=CC2C3C1C23,development,C6H6,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,polycyclic alicyclic,False,78.114,1.0,0.0,4.0,4.0,1.6094379124341,0.351194803048505,39.961,35.924939,0.899,-54.87,65.63,-26.87,0.3865,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0299,dodec-1-ene,25378-22-7,reported,8183,C12H24,CRSBERNSMYQZNG-UHFFFAOYSA-N,C=CCCCCCCCCCC,development,C12H24,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,acyclic alkene,False,168.324,2.0,0.0,0.0,0.0,0.693147180559945,10.74,43.4233977329436,33.941026236359384,0.781629904806129,-49.91,197.69,63.32227,1.3233,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0479
HC-0300,"1,4-Dimethylnaphthalene",571-58-4,reported,11304,C12H12,APQSQLNWAIULLK-UHFFFAOYSA-N,Cc1ccc(C)c2ccccc12,development,C12H12,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,polycyclic aromatic,True,156.228,1.0,0.833333333333333,2.0,4.0,1.09861228866811,2.63255405356951,39.961,39.57537635,0.99035,36.01,256.63,103.58,2.0955,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0301,"1,5-Dimethylnaphthalene",571-61-9,reported,11306,C12H12,SDDBCEWUYXVGCQ-UHFFFAOYSA-N,Cc1cccc2c(C)cccc12,development,C12H12,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,polycyclic aromatic,True,156.228,1.0,0.833333333333333,2.0,4.0,1.09861228866811,2.63255405356951,39.961,39.57537635,0.99035,36.01,256.63,103.58,2.0955,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0302,"1,8-Dimethylnaphthalene",569-41-5,reported,11287,C12H12,XAABPYINPXYOLM-UHFFFAOYSA-N,Cc1cccc2cccc(C)c12,development,C12H12,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,polycyclic aromatic,True,156.228,1.0,0.833333333333333,2.0,4.0,1.09861228866811,2.63255405356951,39.961,39.57537635,0.99035,36.01,256.63,103.58,2.0955,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0303,"1-(1,2-dimethylpropyl)benzene",,not available or not unambiguously resolved,,C11H16,NQRMTOKLHZNAQH-UHFFFAOYSA-N,CC(C)C(C)c1ccccc1,development,C11H16,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,monocyclic aromatic,False,148.249,1.45454545454545,0.545454545454545,1.0,3.0,1.6094379124341,3.56460691978641,41.5989315273628,36.2892785689067,0.872360833235259,-63.0,203.93,67.58419,1.24899329140819,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0304,"2,3-Dimethylnaphthalene",581-40-8,reported,11386,C12H12,WWGUMAYGTYQSGA-UHFFFAOYSA-N,Cc1cc2ccccc2cc1C,development,C12H12,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,polycyclic aromatic,True,156.228,1.0,0.833333333333333,2.0,4.0,1.09861228866811,2.63255405356951,39.961,39.57537635,0.99035,36.01,256.63,103.58,2.0955,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0305,"2,6-Dimethylnaphthalene",,not available or not unambiguously resolved,11387,C12H12,YGYNBBAUIYTWBF-UHFFFAOYSA-N,Cc1ccc2cc(C)ccc2c1,development,C12H12,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,polycyclic aromatic,True,156.228,1.0,0.833333333333333,2.0,4.0,1.09861228866811,2.63255405356951,39.961,39.57537635,0.99035,36.01,256.63,103.58,2.0955,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0306,"2,7-Dimethylnaphthalene",582-16-1,reported,11396,C12H12,LRQYSMQNJLZKPS-UHFFFAOYSA-N,Cc1ccc2ccc(C)cc2c1,development,C12H12,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,polycyclic aromatic,True,156.228,1.0,0.833333333333333,2.0,4.0,1.09861228866811,2.63255405356951,39.961,39.57537635,0.99035,36.01,256.63,103.58,2.0955,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0307,2-methylbutylbenzene,,not available or not unambiguously resolved,,C11H16,IFDLFCDWOFLKEB-UHFFFAOYSA-N,CCC(C)Cc1ccccc1,development,C11H16,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,monocyclic aromatic,False,148.249,1.45454545454545,0.545454545454545,1.0,2.0,1.09861228866811,4.17188323185677,41.5989315273628,36.2892785689067,0.872360833235259,-48.0,204.37,67.88471,1.25417694363864,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0308,3-methylbutylbenzene,2049-94-7,reported,16294,C11H16,XNXIYYFOYIUJIW-UHFFFAOYSA-N,CC(C)CCc1ccccc1,development,C11H16,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,monocyclic aromatic,False,148.249,1.45454545454545,0.545454545454545,1.0,2.0,1.6094379124341,4.17188323185677,41.5989315273628,36.2892785689067,0.872360833235259,-48.0,204.37,67.88471,1.25417694363864,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0309,pentan-2-ylbenzene,52937-63-0,reported,17627,C11H16,LTHAIAJHDPJXLG-UHFFFAOYSA-N,CCCC(C)c1ccccc1,development,C11H16,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,monocyclic aromatic,False,148.249,1.45454545454545,0.545454545454545,1.0,2.0,1.09861228866811,4.17188323185677,41.5989315273628,36.2892785689067,0.872360833235259,-48.0,204.37,67.88471,1.25417694363864,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0310,pentan-3-ylbenzene,,not available or not unambiguously resolved,,C11H16,PBWHJRFXUPLZDS-UHFFFAOYSA-N,CCC(CC)c1ccccc1,development,C11H16,pure single-component molecule,hydrocarbon (C/H only),False,False,aromatic,monocyclic aromatic,False,148.249,1.45454545454545,0.545454545454545,1.0,2.0,1.6094379124341,4.17188323185677,41.5989315273628,36.2892785689067,0.872360833235259,-48.0,204.37,67.88471,1.25417694363864,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
