record_id,molecule_name,cas_rn,cas_status,pubchem_cid,molecular_formula,inchikey,canonical_smiles,partition,formula_group,component_scope,elemental_scope,mixture_flag,oxygenate_flag,aromaticity_class,structure_class,density_screening_flag_ge_0_90_g_cm3,X01,X02,X03,X04,X05,X06,X07,Y01,Y02,Y03,Y04,Y05,Y06,Y07,reference_map
HC-0269,"2,3-Dimethylheptadecane",61868-03-9,reported,537320,C19H40,LNMKTLJTVALPBD-UHFFFAOYSA-N,CCCCCCCCCCCCCCC(C)C(C)C,development,C19H40,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,268.529,2.10526315789474,0.0,0.0,2.0,1.09861228866811,14.409972299169,43.759,34.437020229999995,0.78697,0.74,360.29,174.38,6.6941,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0270,"2,4,8-Trimethylnonane",49542-74-7,reported,53424210,C12H26,PZXMOJBYRFSNJH-UHFFFAOYSA-N,CC(C)CCCC(C)CC(C)C,development,C12H26,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,170.34,2.16666666666667,0.0,0.0,3.0,1.6094379124341,6.50887573964497,43.953,33.28253019,0.75723,-93.15,199.69,64.69,1.2003,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0271,"2,5-Dimethylnonane",17302-27-1,reported,28456,C11H24,NQUMJENPNGXAIH-UHFFFAOYSA-N,CCCCC(C)CCC(C)C,development,C11H24,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,156.313,2.18181818181818,0.0,0.0,2.0,1.09861228866811,6.69421487603306,44.0,33.012319999999995,0.75028,-89.42,177.25,49.36,0.9768,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0272,2-Methylundecane,,not available or not unambiguously resolved,23459,C12H26,GTJOHISYCKPIMT-UHFFFAOYSA-N,CCCCCCCCCC(C)C,development,C12H26,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,170.34,2.16666666666667,0.0,0.0,1.0,1.09861228866811,9.09090909090909,43.953,33.28253019,0.75723,-63.15,200.57,65.29,1.2102,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0273,"3,4-Dimethyloctane",15869-92-8,reported,85926,C10H22,QQCWGAMGBCGAQJ-UHFFFAOYSA-N,CCCCC(C)C(C)CC,development,C10H22,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,142.286,2.2,0.0,0.0,2.0,0.693147180559945,5.76,44.057,32.695580840000005,0.74212,-100.69,154.37,33.73,0.7974,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0274,"Octane, 2,3,7-trimethyl-",62016-34-6,reported,43867,C11H24,XJKKSYAVEVAGFX-UHFFFAOYSA-N,CC(C)CCCC(C)C(C)C,development,C11H24,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,156.313,2.18181818181818,0.0,0.0,3.0,1.6094379124341,5.625,44.0,33.012319999999995,0.75028,-104.42,176.81,49.06,0.9729,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0275,"Tetradecane, 7,8-diethyl",,not available or not unambiguously resolved,530299,C18H38,GXQQCJBWQYZHOA-UHFFFAOYSA-N,CCCCCCC(CC)C(CC)CCCCCC,development,C18H38,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,254.502,2.11111111111111,0.0,0.0,2.0,1.09861228866811,13.4320987654321,43.778,34.32282756,0.78402,-10.53,337.41,158.75,5.0864,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0276,"1,1,3-Trimethyl-4-pentylcyclohexane",,not available or not unambiguously resolved,174850883,C14H28,XOZIUUUDLHIIHB-UHFFFAOYSA-N,CCCCCC1CCC(C)(C)CC1C,development,C14H28,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,monocyclic alicyclic,False,196.378,2.0,0.0,1.0,3.0,1.09861228866811,5.18559556786704,43.423,34.30547269,0.79003,-2.81,257.22,103.98,2.1082,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0277,"1,1,5-Trimethyl-2-pentylcyclohexane",,not available or not unambiguously resolved,54400193,C14H28,VMWFOEZDEWOKHJ-UHFFFAOYSA-N,CCCCCC1CCC(C)CC1(C)C,development,C14H28,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,monocyclic alicyclic,False,196.378,2.0,0.0,1.0,3.0,1.09861228866811,5.18559556786704,43.423,34.30547269,0.79003,-2.81,257.22,103.98,2.1082,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
HC-0278,"1,3-Diisopropylcyclohexane",7045-70-7,reported,522382,C12H24,WDTCMYUFBNCSKK-UHFFFAOYSA-N,CC(C)C1CCCC(C(C)C)C1,development,C12H24,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,monocyclic alicyclic,False,168.324,2.0,0.0,1.0,4.0,2.19722457733622,4.296875,43.423,33.940719490000006,0.78163,-75.01,215.01,75.15,1.3875,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0001；Y02→REF-0001；Y03→REF-0001；Y04→REF-0002；Y05→REF-0002；Y06→REF-0481；Y07→REF-0482
