provenance_id,record_id,partition,molecule_name,inchikey,property_code,property_name,final_value,unit,value_origin_class,high_confidence_source_subset,reference_ids,primary_reference_id,source_category,publisher_or_host,doi,url,citation_or_web_title,value_basis,measurement_conditions_or_method_note,conditions_status,quality_grade,verification_note,provenance_reconstruction_basis
PV-00169,HC-0030,development,Nonane,BKIMMITUMNQMOS-UHFFFAOYSA-N,Y01,Mass-based net heat of combustion,44.327,MJ kg^-1,calculated from literature thermochemistry,True,REF-0098,REF-0098,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111842&Units=SI&Mask=6,"Good, 1969 Good, W.D., Enthalpies of combustion and formation of 11 isomeric nonanes, J. Chem. Eng. Data, 1969, 14, 231-235. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",NIST thermochemical net-basis derivation (L1_direct_delta_f_liquid_with_H2O_g): direct NIST liquid formation enthalpy + CODATA CO2(g)/H2O(g),Reaction: C9H20(l) + 14 O2(g) -> 9 CO2(g) + 10 H2O(g); calculation: C9H20(l) + 14 O2(g) -> 9 CO2(g) + 10 H2O(g); ΔcH° = 9×(-393.51) + 10×(-241.826) - (-274.7) kJ/mol. O2(g) standard-state formation enthalpy is 0 by convention. Central displayed values only; uncertainty not propagated.; source records: https://webbook.nist.gov/cgi/cbook.cgi?Source=1969GOO231-235&Units=SI&Mask=6 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C111842&Units=SI&Mask=6 | https://webbook.nist.gov/cgi/cbook.cgi?Source=1984COX%2FWAG1B&Units=SI&Mask=1 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C124389&Units=SI&Mask=1 | https://webbook.nist.gov/cgi/cbook.cgi?Source=1984COX%2FWAG1B&Units=SI&Mask=7 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Units=SI&Mask=7,reported,B,Identity matched by the NIST-displayed full InChIKey. First usable NIST display row in the highest available tier; central values only and uncertainty not propagated.,identity + property + reference matched to the audited prior provenance table
PV-00170,HC-0030,development,Nonane,BKIMMITUMNQMOS-UHFFFAOYSA-N,Y02,Volumetric net heat of combustion,31.826786,MJ L^-1,constructed from Y01 and Y03,False,REF-0098/REF-0072,REF-0098,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111842&Units=SI&Mask=6,"Good, 1969 Good, W.D., Enthalpies of combustion and formation of 11 isomeric nonanes, J. Chem. Eng. Data, 1969, 14, 231-235. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",Y02 = Y01 x Y03 using the two release-table values,Not applicable; algebraically constructed endpoint.,not applicable,constructed,,reference registry mapping only
PV-00171,HC-0030,development,Nonane,BKIMMITUMNQMOS-UHFFFAOYSA-N,Y03,Density,0.718,g cm^-3,experimental measurement,True,REF-0072,REF-0072,NIST ThermoML experimental,journal publisher / NIST ThermoML,10.1016/j.fluid.2017.02.010,https://doi.org/10.1016/j.fluid.2017.02.010,"Han, H.[Haishui]; Li, Z.[Zhuolin]; Chen, X.[Xinglong]; Li, S.[Shi]; Qin, J.[Jishun] (2017). Volume expansion prediction of supercritical CO 2  + crude oil. Fluid Phase Equilib. 439, 9-17. https://doi.org/10.1016/j.fluid.2017.02.010",direct at 20 C (within 0.5 K),Other PVT measurement; T=293.15 K; p=101.325 kPa,reported,A,Pure-component experimental density selected by InChIKey; no formula-only identity match.,identity + property + reference matched to the audited prior provenance table
PV-00172,HC-0030,development,Nonane,BKIMMITUMNQMOS-UHFFFAOYSA-N,Y04,Solid-liquid phase-transition temperature,-53.65,degC,evaluated or compiled literature value,True,REF-0099,REF-0099,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111842&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated fusion temperature: Average of 24 values; Individual data points,NIST fusion/melting temperature,Record type: fusion_temperature; method: AVG; comment: Average of 24 values; Individual data points,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00173,HC-0030,development,Nonane,BKIMMITUMNQMOS-UHFFFAOYSA-N,Y05,Boiling point,150.65,degC,evaluated or compiled literature value,True,REF-0100,REF-0100,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111842&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated normal boiling point: Average of 44 out of 51 values; Individual data points,NIST normal boiling point,Record type: normal_boiling_point; method: AVG; comment: Average of 44 out of 51 values; Individual data points,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00174,HC-0030,development,Nonane,BKIMMITUMNQMOS-UHFFFAOYSA-N,Y06,Flash point,31.0,degC,source database value; measurement status not resolved,False,REF-0479,REF-0479,open-source research database,Energy Conversion Research Laboratory / GitHub,,https://raw.githubusercontent.com/ecrl/ecnet/refs/heads/master/databases/properties_master.csv,ECNet properties_master.csv — curated chemical-property table.,Curated source-table flash-point value,Open/closed-cup method and record-level measurement conditions were not retained.,not reported,not reassessed,,reference registry mapping only
PV-00175,HC-0030,development,Nonane,BKIMMITUMNQMOS-UHFFFAOYSA-N,Y07,Kinematic viscosity at 40 degC,0.807,mm^2 s^-1,source database value; measurement status not resolved,False,REF-0479,REF-0479,open-source research database,Energy Conversion Research Laboratory / GitHub,,https://raw.githubusercontent.com/ecrl/ecnet/refs/heads/master/databases/properties_master.csv,ECNet properties_master.csv — curated chemical-property table.,Curated source-table value standardized to 40 degC,Reference temperature: 40 degC (313.15 K). Original record-level method was not retained.,partly reported,not reassessed,,reference registry mapping only
PV-00176,HC-0031,development,Octadecane,RZJRJXONCZWCBN-UHFFFAOYSA-N,Y01,Mass-based net heat of combustion,43.901,MJ kg^-1,calculated from literature thermochemistry,True,REF-0101,REF-0101,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C593453&Units=SI&Mask=6,"Prosen and Rossini, 1945 Prosen, E.J.; Rossini, F.D., Heats of combustion and formation of the paraffin hydrocarbons at 25° C, J. Res. NBS, 1945, 263-267. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",NIST thermochemical net-basis derivation (L1_direct_delta_f_liquid_with_H2O_g): direct NIST liquid formation enthalpy + CODATA CO2(g)/H2O(g),Reaction: C18H38(l) + 27.5 O2(g) -> 18 CO2(g) + 19 H2O(g); calculation: C18H38(l) + 27.5 O2(g) -> 18 CO2(g) + 19 H2O(g); ΔcH° = 18×(-393.51) + 19×(-241.826) - (-505.4) kJ/mol. O2(g) standard-state formation enthalpy is 0 by convention. Central displayed values only; uncertainty not propagated.; source records: https://webbook.nist.gov/cgi/cbook.cgi?Source=1945PRO%2FROS263-267&Units=SI&Mask=6 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C593453&Units=SI&Mask=6 | https://webbook.nist.gov/cgi/cbook.cgi?Source=1984COX%2FWAG1B&Units=SI&Mask=1 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C124389&Units=SI&Mask=1 | https://webbook.nist.gov/cgi/cbook.cgi?Source=1984COX%2FWAG1B&Units=SI&Mask=7 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Units=SI&Mask=7,reported,B,Identity matched by the NIST-displayed full InChIKey. First usable NIST display row in the highest available tier; central values only and uncertainty not propagated.,identity + property + reference matched to the audited prior provenance table
PV-00177,HC-0031,development,Octadecane,RZJRJXONCZWCBN-UHFFFAOYSA-N,Y02,Volumetric net heat of combustion,34.102296800000005,MJ L^-1,constructed from Y01 and Y03,False,REF-0101/REF-0102,REF-0101,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C593453&Units=SI&Mask=6,"Prosen and Rossini, 1945 Prosen, E.J.; Rossini, F.D., Heats of combustion and formation of the paraffin hydrocarbons at 25° C, J. Res. NBS, 1945, 263-267. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",Y02 = Y01 x Y03 using the two release-table values,Not applicable; algebraically constructed endpoint.,not applicable,constructed,,reference registry mapping only
PV-00178,HC-0031,development,Octadecane,RZJRJXONCZWCBN-UHFFFAOYSA-N,Y03,Density,0.7768,g cm^-3,source-reported experimental value,True,REF-0102,REF-0102,PubChem source-linked experimental annotation,pubchem.ncbi.nlm.nih.gov,,https://pubchem.ncbi.nlm.nih.gov/source/hsdb/8348,Hazardous Substances Data Bank (HSDB),temperature 28 °C,0.7768 g/cu cm at 28 °C,reported,A,Numeric value and identity retained from PubChem PUG-View; source URL preserved verbatim.,identity + property + reference matched to the audited prior provenance table
